ComponentName,ApmtLength,ApmtDepth,ApmtHeight,Length,Depth,Height,ProxZpos,ProxZneg,ProxYpos,ProxYneg,ProxXpos,ProxXneg,TopArea,SidesArea,NumberOfFaces,ClashCount
Railing,25.9,401.17,3.46,0.6,0.03,1,2.18,0.28,0,14.94,7.2,4.81,0.02,1.26,6,5
Railing,9.65,401.17,3.46,1.61,0.03,1,2.18,0.28,0,15.51,4.99,5.44,0.05,3.27,6,4
Railing,25.9,401.17,3.46,0.6,0.03,1,2.18,0.28,0,14.94,6.57,5.44,0.02,1.26,6,5
Railing,25.9,401.17,3.46,0.6,0.03,1,2.18,0.28,0,14.94,4.99,7.02,0.02,1.26,6,5
Railing,4.58,401.17,3.46,3.39,0.03,1,2.18,0.28,0,15.51,1,7.65,0.1,6.84,6,4
Railing,25.9,401.17,3.46,0.6,0.03,1,2.18,0.28,0,14.94,4.36,7.65,0.02,1.26,6,5
Railing,25.9,401.17,3.46,0.6,0.03,1,2.18,0.28,0,14.94,1,11.01,0.02,1.26,6,5
Railing,3.18,401.17,3.46,4.89,0.03,1,2.18,0.28,9.62,1.03,0,12.01,0.15,9.84,6,4
Railing,25.9,401.17,3.46,0.6,0.03,1,2.18,0.28,9.62,5.89,0,11.44,0.02,1.26,6,4
Railing,25.9,401.17,3.46,0.6,0.03,1,2.18,0.28,14.48,1.03,0,11.44,0.02,1.26,6,4
BalconyFloor,1.46,20.06,12.36,10.64,0.6,0.28,3.18,0,14.91,0.03,1,0.4,6.38,6.29,6,5
BalconyFloor,6.64,20.06,12.36,2.34,0.6,0.28,3.18,0,0,14.94,9.3,0.4,1.4,1.65,6,6
BalconyFloor,10.36,20.06,12.36,1.5,0.6,0.28,3.18,0,0,14.94,7.2,3.34,0.9,1.18,6,6
BalconyFloor,9.65,20.06,12.36,1.61,0.6,0.28,3.18,0,0,14.94,4.99,5.44,0.96,1.23,6,6
BalconyFloor,4.58,20.06,12.36,3.39,0.6,0.28,3.18,0,0,14.94,1,7.65,2.03,2.23,6,6
BalconyFloor,3.18,20.06,12.36,4.89,0.6,0.28,3.18,0,9.62,1.03,0,11.44,2.93,3.07,6,5
BathroomFloor,4.53,4.39,12.36,3.43,2.74,0.28,3.18,0,5.85,6.27,4.11,5.19,9.38,3.45,6,4
BathroomFloor,4.47,6.02,12.36,3.48,2,0.28,3.18,0,0.8,11.27,6.94,3.09,6.95,3.07,6,4
Floor,1.09,1.05,12.36,14.31,11.44,0.28,3.18,0,0.6,0.63,0.6,0,163.66,14.42,22,53
InteriorWall,4.44,118.06,1.03,3.48,0.1,3.73,0,0.13,4.89,6.81,10.64,1.32,0.35,26.68,6,4
InteriorWall,31.5,118.06,1.03,0.49,0.1,3.73,0,0.13,10.58,1.13,10.64,4.31,0.05,4.39,6,4
InteriorWall,4.5,118.06,1.03,3.43,0.1,3.73,0,0.13,6.95,4.75,5.64,6.37,0.34,26.32,6,4
InteriorWall,8.08,118.06,1.03,1.91,0.1,3.73,0,0.13,9.7,0.2,8.97,6.37,0.19,14.98,10,5
InteriorWall,8.08,118.06,1.03,1.91,0.1,3.73,0,0.13,9.7,0.2,7.69,7.64,0.19,14.98,6,4
InteriorWall,7.49,118.06,1.03,2.06,0.1,3.73,0,0.13,9.01,2.7,5.64,7.74,0.21,16.08,10,5
InteriorWall,4.5,118.06,1.03,3.43,0.1,3.73,0,0.13,4.31,7.4,5.64,6.37,0.34,26.32,6,5
InteriorWall,11.27,118.06,1.03,1.37,0.1,3.73,0,0.13,6.95,4.75,9.17,4.9,0.14,10.97,10,5
InteriorWall,4.44,118.06,1.03,3.48,0.1,3.73,0,0.13,6.95,4.75,10.64,1.32,0.35,26.68,6,5
