ComponentName,ApmtLength,ApmtDepth,ApmtHeight,Length,Depth,Height,ProximityDistance,TopArea,SidesArea,NumberOfFaces,ClashCount
ExteriorWall,1.02,36.89,1.04,9.77,0.2,3.32,0,1.95,66.21,6,6
InteriorDoor,10.84,184.43,1.45,0.92,0.04,2.39,2.37,0.04,4.59,6,3
InteriorDoor,10.84,184.43,1.45,0.92,0.04,2.39,2.37,0.04,4.59,6,4
InteriorDoor,10.84,184.43,1.45,0.92,0.04,2.39,2.2,0.04,4.59,6,3
ExteriorDoor,9.87,184.43,1.45,1.01,0.04,2.39,0.08,0.04,5.01,6,3
Window,3.08,184.43,1.15,3.24,0.04,3,0.08,0.13,19.69,6,2
Window,3.64,184.43,1.15,2.74,0.04,3,0.08,0.11,16.66,6,2
BathroomFloor,3.46,3.74,24.71,2.88,1.97,0.14,0.2,5.69,1.36,6,4
Floor,1,1,24.71,9.97,7.38,0.14,0,73.56,4.86,18,18
InteriorWall,9.68,77.82,1.05,1.45,0.1,3.65,0.2,0.14,11.3,6,4
InteriorWall,9.68,77.82,1.05,1.45,0.1,3.65,0.2,0.14,11.3,6,4
InteriorWall,14.03,77.82,1.05,1,0.1,3.65,1.75,0.1,8.02,8,5
InteriorWall,15.59,77.82,1.05,0.9,0.1,3.65,0.65,0.09,7.29,10,5
InteriorWall,4.08,77.82,1.05,3.44,0.1,3.65,0.2,0.34,25.88,6,4
InteriorWall,3.59,77.82,1.05,3.91,0.1,3.65,2.56,0.39,29.3,10,6
InteriorWall,3.25,77.82,1.05,4.31,0.1,3.65,1.65,0.43,32.22,17,9
InteriorWall,9.05,77.82,1.05,1.55,0.1,3.65,0.2,0.15,12.03,6,4
InteriorWall,25.51,77.82,1.05,0.55,0.1,3.65,0.2,0.06,4.76,6,4
InteriorWall,6.21,77.82,1.05,2.26,0.1,3.65,0.2,0.23,17.21,10,6
InteriorWall,3.96,77.82,1.05,3.54,0.1,3.65,0.2,0.35,26.61,6,6
ExteriorWall,1.14,38.91,1.05,12.34,0.2,3.65,0,2.47,91.54,10,8
ExteriorWall,1.14,38.91,1.05,12.34,0.2,3.65,0,2.47,91.54,18,10
ExteriorWall,2.16,38.91,1.05,6.49,0.2,3.65,0,1.3,48.85,10,8
ExteriorWall,2.16,38.91,1.05,6.49,0.2,3.65,0,1.3,48.85,6,6
InteriorDoor,15.25,194.55,1.65,0.92,0.04,2.33,2.78,0.04,4.47,6,3
InteriorDoor,15.25,194.55,1.65,0.92,0.04,2.33,1.74,0.04,4.47,6,4
InteriorDoor,15.25,194.55,1.65,0.92,0.04,2.33,1.68,0.04,4.47,6,3
InteriorDoor,15.25,194.55,1.65,0.92,0.04,2.33,1.68,0.04,4.47,6,3
InteriorDoor,15.25,194.55,1.65,0.92,0.04,2.33,0.84,0.04,4.47,6,3
InteriorDoor,19.48,194.55,1.65,0.72,0.04,2.33,0.68,0.03,3.54,6,3
ExteriorDoor,13.89,194.55,1.65,1.01,0.04,2.33,0.08,0.04,4.88,6,3
Window,2.5,194.55,1.53,5.62,0.04,2.51,0.08,0.22,28.41,6,2
Window,2.47,194.55,1.53,5.69,0.04,2.51,0.08,0.23,28.77,6,2
Window,4.24,194.55,1.53,3.31,0.04,2.51,0.08,0.13,16.83,6,2
Window,7.75,194.55,1.53,1.81,0.04,2.51,0.08,0.07,9.27,6,2
Railing,2.5,259.4,3.84,5.62,0.03,1,0,0.17,11.3,6,4
Railing,10.88,259.4,3.84,1.29,0.03,1,0,0.04,2.64,6,4
Railing,10.88,259.4,3.84,1.29,0.03,1,0,0.04,2.64,6,4
Railing,2.47,259.4,3.84,5.69,0.03,1,0,0.17,11.44,6,4
Railing,10.88,259.4,3.84,1.29,0.03,1,0,0.04,2.64,6,5
Railing,10.88,259.4,3.84,1.29,0.03,1,0,0.04,2.64,6,5
Railing,4.24,259.4,3.84,3.31,0.03,1,0,0.1,6.69,6,4
Railing,10.88,259.4,3.84,1.29,0.03,1,0,0.04,2.64,6,4
Railing,10.88,259.4,3.84,1.29,0.03,1,0,0.04,2.64,6,4
Railing,7.75,259.4,3.84,1.81,0.03,1,0,0.05,3.67,6,4
Railing,10.88,259.4,3.84,1.29,0.03,1,0,0.04,2.64,6,4
Railing,10.88,259.4,3.84,1.29,0.03,1,0,0.04,2.64,6,4
